BJD - 2454833, Corrected Flux
2233.193068113, 1.000524280,
2233.213500393, 1.012919106,
2233.233932472, 0.997062981,
2233.254364651, 1.012576782,
2233.274796829, 0.994117060,
2233.295229007, 1.016724678,
2233.315661183, 1.000980204,
2233.336093360, 1.002598379,
2233.356525535, 1.006910533,
2233.376957711, 1.020255434,
2233.397389886, 1.016876205,
2233.417822060, 1.004282505,
2233.438254234, 1.009477806,
2233.458686507, 1.002491805,
2233.479118580, 0.999507951,
2233.499550752, 1.018446590,
2233.519983024, 1.019451270,
2233.540415095, 1.010017079,
2233.560847266, 1.000343358,
2233.581279536, 1.016632816,
2233.601711605, 1.002391814,
2233.622143874, 1.034323037,
2233.663008111, 1.013403535,
2233.683440379, 1.060801481,
2233.703872545, 0.985894861,
2233.724304711, 1.005817859,
2233.744736878, 1.003806290,
2233.765169043, 1.007885441,
2233.785601208, 1.023727755,
2233.806033372, 1.015732300,
2233.826465536, 1.013108099,
2233.846897699, 1.000995467,
2233.867329862, 1.008545780,
2233.887762024, 1.016711474,
2233.908194186, 0.994635447,
2233.928626447, 1.007322253,
2233.949058507, 1.006962490,
2233.969490668, 0.994905610,
2233.989922827, 1.011740545,
2234.010354986, 1.011544507,
2234.030787145, 1.009496435,
2234.051219303, 1.019292568,
2234.071651460, 1.013201025,
2234.092083617, 1.000778192,
2234.112515774, 1.008433370,
2234.153380085, 1.022361960,
2234.173812240, 1.031706558,
2234.194244394, 1.005909021,
2234.214676548, 0.994361133,
2234.235108701, 0.987290438,
2234.255540854, 1.005791593,
2234.275973006, 0.997363444,
2234.296405258, 1.005721415,
2234.316837309, 1.010681694,
2234.337269460, 0.994956839,
2234.357701710, 1.034311740,
2234.398565909, 1.007831316,
2234.439430206, 0.996912676,
2234.459862453, 1.001466726,
2234.480294601, 0.997453672,
2234.500726647, 1.035575049,
2234.521158893, 1.008742364,
2234.541591039, 1.066484677,
2234.562023184, 1.016290942,
2234.582455328, 1.022745177,
2234.602887472, 0.999218824,
2234.643751759, 1.007107667,
2234.664183901, 0.997032217,
2234.684616043, 1.012898551,
2234.705048184, 1.007620897,
2234.725480325, 1.015681800,
2234.745912465, 0.989157862,
2234.766344606, 1.003805909,
2234.786776745, 1.030381925,
2234.807208883, 1.002858622,
2234.827641022, 1.004171641,
2234.848073160, 1.024640412,
2234.868505197, 1.001311227,
2234.888937433, 0.997952047,
2234.909369570, 0.993157587,
2234.929801605, 1.020959410,
2234.950233841, 1.018705883,
2234.970665975, 1.001824796,
2234.991098109, 1.016759521,
2235.011530243, 0.996602455,
2235.031962376, 1.025871708,
2235.052394509, 1.005850905,
2235.072826641, 1.008367006,
2235.093258773, 1.015922188,
2235.134123134, 1.012687944,
2235.154555165, 1.006011979,
2235.174987294, 1.017201235,
2235.195419523, 1.036004381,
2235.215851551, 1.015258939,
2235.236283680, 1.012406835,
2235.256715907, 1.000706337,
2235.277147934, 0.998306434,
2235.297580160, 1.009011807,
2235.318012287, 0.998420862,
2235.338444312, 0.965049768,
2235.358876537, 1.011546840,
2235.379308661, 1.018771505,
2235.399740785, 1.013093356,
2235.420172909, 1.022945143,
2235.440605032, 1.017331602,
2235.461037154, 1.013992362,
2235.481469276, 1.024472468,
2235.501901397, 0.994183443,
2235.522333518, 1.003191204,
2235.542765639, 1.019191520,
2235.563197758, 0.992154841,
2235.583629878, 1.039823119,
2235.604061997, 0.998791796,
2235.624494115, 1.002892602,
2235.644926133, 1.015028613,
2235.665358350, 1.024020734,
2235.685790467, 1.001176918,
2235.706222483, 1.005787681,
2235.726654699, 1.018235499,
2235.747086814, 1.007121028,
2235.767518829, 1.024681078,
2235.787951043, 1.011699845,
2235.808383157, 1.003316596,
2235.828815270, 1.002305390,
2235.869679496, 1.008543461,
2235.890111607, 1.032662512,
2235.910543719, 1.039227791,
2235.930975829, 1.024391498,
2235.951407939, 1.003702649,
2235.971840149, 1.006852458,
2235.992272159, 1.012239099,
2236.012704267, 0.995820848,
2236.033136476, 1.036512560,
2236.053568483, 1.014039283,
2236.074000690, 1.011499725,
2236.094432797, 1.031208026,
2236.114864803, 1.013430843,
2236.135297009, 1.026877564,
2236.155729114, 1.010058167,
2236.176161119, 1.015308505,
2236.217025427, 1.065202184,
2236.237457530, 1.015681753,
2236.257889633, 1.011840028,
2236.278321635, 1.021052152,
2236.298753837, 1.035206694,
2236.319185938, 1.005437703,
2236.339618039, 1.014013423,
2236.360050039, 1.007267335,
2236.380482238, 1.010278847,
2236.400914338, 1.040916882,
2236.421346336, 1.001283301,
2236.441778535, 1.023153744,
2236.462210632, 1.040056474,
2236.482642630, 1.002686454,
2236.503074826, 0.998490118,
2236.523506922, 1.015099142,
2236.543938918, 0.997328679,
2236.564371113, 1.023051641,
2236.605235202, 1.015840370,
2236.625667396, 1.015702099,
2236.646099489, 1.014115140,
2236.666531582, 1.026207117,
2236.686963674, 1.012980289,
2236.707395766, 1.003123703,
2236.727827857, 1.034704459,
2236.748259948, 1.021728174,
2236.768692038, 1.007499541,
2236.789124128, 0.991075999,
2236.809556317, 1.020664564,
2236.850420394, 1.012789617,
2236.870852582, 0.999476548,
2236.891284569, 1.014855999,
2236.911716756, 1.010109003,
2236.932148842, 1.020135138,
2236.952580828, 1.025330076,
2236.973013013, 0.989424914,
2236.993444998, 1.002783620,
2237.013877082, 0.991789187,
2237.034309266, 1.014903452,
2237.054741249, 1.033261814,
2237.075173332, 0.999791006,
2237.095605514, 1.005001281,
2237.116037496, 1.023664222,
2237.136469577, 0.997278060,
2237.156901758, 1.018533651,
2237.177333839, 0.986344714,
2237.197765818, 1.017653577,
2237.218197998, 1.040353557,
2237.238630077, 1.007486203,
2237.259062055, 1.047104397,
2237.279494233, 1.005740778,
2237.299926310, 1.004990264,
2237.320358287, 1.007213337,
2237.340790464, 1.010889620,
2237.361222539, 1.040843143,
2237.381654515, 0.998451774,
2237.402086690, 1.002036068,
2237.422518764, 1.007381524,
2237.463382912, 1.029723921,
2237.483814985, 1.014306274,
2237.504247057, 0.997109552,
2237.524679129, 1.001017432,
2237.545111201, 1.008523338,
2237.565543272, 1.019437148,
2237.585975343, 0.998078567,
2237.606407412, 1.015214260,
2237.626839482, 1.006185091,
2237.647271651, 1.020740901,
2237.667703620, 1.005732089,
2237.688135688, 1.019806112,
2237.708567856, 1.034330369,
2237.728999823, 1.022401101,
2237.749431989, 1.007672230,
2237.769863956, 1.031930460,
2237.790296021, 1.015940822,
2237.810728187, 1.012701472,
2237.831160151, 1.019953852,
2237.851592216, 1.024577790,
