,"BJD - 2454833, Corrected Flux"
733,"2246.943817023, 1.059552829,"
734,"2246.964248793, 1.012576804,"
735,"2246.984680762, 1.017177380,"
736,"2247.005112631, 1.018494251,"
737,"2247.025544399, 1.008623952,"
738,"2247.045976367, 1.011731254,"
739,"2247.066408234, 1.007465247,"
740,"2247.086840002, 1.088414804,"
741,"2247.107271968, 1.079394524,"
742,"2247.127703835, 1.022007258,"
743,"2247.148135601, 1.019218851,"
744,"2247.168567567, 1.009724161,"
745,"2247.209431197, 1.004141483,"
746,"2247.229863161, 1.007516498,"
747,"2247.250295025, 0.983453818,"
748,"2247.291158752, 1.025521564,"
749,"2247.311590615, 1.025093007,"
750,"2247.332022478, 1.031293680,"
751,"2247.352454340, 1.050256827,"
752,"2247.393318063, 1.008084273,"
753,"2247.413750024, 1.016193281,"
754,"2247.434181785, 1.013330474,"
755,"2247.454613645, 0.997473806,"
756,"2247.475045505, 1.001514847,"
757,"2247.495477365, 1.002574545,"
758,"2247.515909124, 1.021849663,"
759,"2247.536341082, 1.017649998,"
760,"2247.556772941, 1.010064867,"
761,"2247.577204899, 0.984597878,"
762,"2247.597636657, 1.009692622,"
763,"2247.638500471, 1.013025836,"
764,"2247.658932227, 1.005399059,"
765,"2247.679364083, 0.998959265,"
766,"2247.699796039, 1.006452833,"
767,"2247.720227794, 0.999448392,"
768,"2247.740659649, 0.996693651,"
769,"2247.761091604, 0.983286310,"
770,"2247.781523458, 1.000645652,"
771,"2247.801955212, 1.004221441,"
772,"2247.822387166, 0.990016583,"
773,"2247.842819019, 1.007102443,"
774,"2247.863250771, 0.986154196,"
775,"2247.883682724, 1.027088483,"
776,"2247.904114576, 0.986726851,"
777,"2247.924546327, 1.002453925,"
778,"2247.944978278, 0.987452563,"
779,"2247.965410129, 1.015547213,"
780,"2247.985841880, 0.987128399,"
781,"2248.006273830, 0.990122415,"
782,"2248.026705679, 0.988060319,"
783,"2248.067569378, 1.003067322,"
784,"2248.088001227, 1.022239584,"
785,"2248.108432975, 1.000956746,"
786,"2248.128864923, 1.027397334,"
787,"2248.149296770, 1.003888179,"
788,"2248.190160464, 1.052366760,"
789,"2248.210592310, 1.036869051,"
790,"2248.231024156, 1.032525079,"
791,"2248.251456002, 1.048143018,"
792,"2248.271887847, 1.013024781,"
793,"2248.292319692, 1.022666577,"
794,"2248.312751537, 1.043772396,"
795,"2248.333183381, 1.055626518,"
796,"2248.374047068, 1.013977781,"
797,"2248.394478911, 1.021623355,"
798,"2248.414910854, 1.004295531,"
799,"2248.435342596, 1.019295723,"
800,"2248.455774438, 1.025462155,"
801,"2248.476206379, 1.009012041,"
802,"2248.496638120, 1.013791176,"
803,"2248.517069961, 1.012869194,"
804,"2248.537501902, 1.021588641,"
805,"2248.557933642, 1.018977635,"
806,"2248.578365481, 1.018218764,"
807,"2248.598797421, 1.032104647,"
808,"2248.619229260, 1.012757981,"
809,"2248.639660999, 1.012059624,"
810,"2248.660092937, 1.007582400,"
811,"2248.680524775, 1.024881764,"
812,"2248.700956512, 1.008293858,"
813,"2248.721388449, 1.022684284,"
814,"2248.741820286, 1.017886103,"
815,"2248.762252022, 1.003605680,"
816,"2248.782683959, 1.026023794,"
817,"2248.803115794, 0.997996460,"
818,"2248.823547730, 1.040533085,"
819,"2248.864411299, 1.022358221,"
820,"2248.884843133, 1.014179226,"
821,"2248.905274967, 1.016126270,"
822,"2248.925706801, 1.025824488,"
823,"2248.946138634, 1.011283557,"
824,"2248.966570466, 1.033403676,"
825,"2248.987002299, 1.018663340,"
826,"2249.007434131, 1.013827642,"
827,"2249.027865963, 1.039297649,"
828,"2249.048297794, 1.035990256,"
829,"2249.068729625, 1.034369646,"
830,"2249.089161455, 1.016775927,"
831,"2249.109593286, 1.028604891,"
832,"2249.130025116, 1.023422851,"
833,"2249.150456945, 1.017215717,"
834,"2249.170888774, 1.047438671,"
835,"2249.191320703, 1.000369308,"
836,"2249.211752432, 1.014264365,"
837,"2249.232184259, 1.008613729,"
838,"2249.252616187, 1.053102551,"
839,"2249.273047915, 1.016599291,"
840,"2249.293479742, 1.025362713,"
841,"2249.313911668, 1.043994048,"
842,"2249.334343394, 1.028909082,"
843,"2249.354775221, 1.018260713,"
844,"2249.375207146, 1.004886488,"
845,"2249.395638871, 0.985879222,"
846,"2249.416070796, 1.015701644,"
847,"2249.436502621, 1.017213064,"
848,"2249.456934445, 1.023299306,"
849,"2249.477366269, 1.017493115,"
850,"2249.497798092, 1.008552394,"
851,"2249.518229915, 1.013596238,"
852,"2249.538661738, 1.003940523,"
853,"2249.559093560, 0.995582191,"
854,"2249.599957203, 1.032152677,"
855,"2249.620389025, 1.017084336,"
856,"2249.640820846, 1.028127684,"
857,"2249.661252666, 1.024844996,"
858,"2249.681684487, 0.994268731,"
859,"2249.702116306, 1.015473923,"
860,"2249.722548126, 1.014237684,"
861,"2249.742979945, 1.001465644,"
862,"2249.763411664, 1.026269644,"
863,"2249.783843582, 1.008315391,"
864,"2249.804275400, 1.019341848,"
865,"2249.845139035, 1.021424606,"
866,"2249.865570852, 1.020918353,"
867,"2249.886002669, 1.023224182,"
868,"2249.906434485, 1.017499696,"
869,"2249.926866302, 1.033176661,"
870,"2249.947298117, 1.014852966,"
871,"2249.967729932, 1.027452452,"
872,"2249.988161747, 1.030739328,"
873,"2250.008593562, 1.035873215,"
874,"2250.029025476, 1.019851601,"
875,"2250.049457190, 1.043617684,"
876,"2250.069889103, 1.021130790,"
877,"2250.090320916, 1.027074384,"
878,"2250.110752629, 1.019244538,"
879,"2250.131184542, 1.025256995,"
880,"2250.151616354, 1.017649918,"
881,"2250.172048066, 1.018220361,"
882,"2250.192479977, 1.031110256,"
883,"2250.212911788, 1.038439698,"
884,"2250.233343499, 1.023703961,"
885,"2250.253775409, 1.029235251,"
886,"2250.274207219, 1.016614071,"
887,"2250.294639029, 1.016717653,"
888,"2250.335502647, 1.041413960,"
889,"2250.355934456, 1.013955557,"
890,"2250.376366264, 1.024688449,"
891,"2250.396798072, 1.030321857,"
892,"2250.417229880, 1.040881939,"
893,"2250.437661687, 1.006609817,"
894,"2250.458093494, 1.019173675,"
895,"2250.478525201, 1.005019811,"
896,"2250.498957107, 1.007395255,"
897,"2250.519388913, 1.002516586,"
898,"2250.539820618, 1.040273901,"
899,"2250.560252523, 0.993735932,"
900,"2250.580684328, 1.004445680,"
901,"2250.601116033, 1.017751902,"
902,"2250.621547937, 1.031702392,"
903,"2250.641979741, 1.046941343,"
904,"2250.662411644, 1.021064518,"
905,"2250.682843347, 1.022602605,"
906,"2250.703275150, 1.021575962,"
907,"2250.723707052, 1.019333924,"
908,"2250.744138754, 1.023091507,"
909,"2250.764570556, 1.010227482,"
910,"2250.785002458, 1.036738874,"
911,"2250.805434159, 1.001906902,"
912,"2250.825865959, 1.009394265,"
913,"2250.846297860, 1.038444524,"
914,"2250.866729660, 1.036560785,"
915,"2250.887161359, 1.010762824,"
916,"2250.907593259, 1.002680019,"
917,"2250.928025058, 1.019251718,"
918,"2250.948456757, 1.018525561,"
919,"2250.968888655, 1.027327636,"
920,"2250.989320453, 1.009350111,"
921,"2251.009752151, 1.000007342,"
922,"2251.030184048, 1.025728140,"
923,"2251.071047542, 1.046141614,"
924,"2251.091479438, 1.046996493,"
925,"2251.111911234, 1.040169047,"
926,"2251.132343029, 1.028111980,"
927,"2251.152774825, 1.032489720,"
928,"2251.173206620, 1.021752307,"
929,"2251.193638414, 1.023245203,"
930,"2251.214070208, 1.031470414,"
931,"2251.234502003, 1.012132429,"
932,"2251.275365589, 1.008123548,"
933,"2251.316229175, 1.008806390,"
934,"2251.336660967, 1.018893715,"
935,"2251.357092759, 1.020394291,"
936,"2251.377524651, 1.021007265,"
937,"2251.397956342, 1.024795275,"
938,"2251.418388133, 1.015227210,"
939,"2251.438820024, 1.002067767,"
940,"2251.459251714, 1.053579982,"
941,"2251.479683504, 1.032059869,"
942,"2251.500115393, 1.107075828,"
943,"2251.520547083, 1.025289081,"
944,"2251.561410760, 1.041126543,"
945,"2251.581842449, 1.030865351,"
946,"2251.602274236, 1.031582118,"
947,"2251.622706124, 1.041502378,"
948,"2251.643137811, 1.020186030,"
949,"2251.684001485, 1.024646515,"
950,"2251.704433271, 1.028308126,"
951,"2251.724865057, 1.011547879,"
952,"2251.745296843, 1.016981023,"
953,"2251.765728628, 1.027961493,"
954,"2251.786160413, 1.005538378,"
955,"2251.806592197, 1.023153985,"
956,"2251.827023982, 1.026964208,"
957,"2251.847455766, 1.026515073,"
958,"2251.867887549, 1.035516577,"
959,"2251.888319333, 1.020208649,"
960,"2251.908751116, 1.040044425,"
961,"2251.929182898, 1.002972213,"
962,"2251.949614681, 1.036501802,"
963,"2251.970046463, 1.021566722,"
964,"2251.990478244, 1.022315621,"
965,"2252.010909926, 1.020068610,"
966,"2252.031341807, 1.078721666,"
967,"2252.051773587, 1.037916460,"
968,"2252.072205368, 1.027964684,"
969,"2252.092637148, 1.035036457,"
970,"2252.113068927, 1.022472745,"
971,"2252.133500707, 1.043829841,"
972,"2252.153932486, 1.021313862,"
973,"2252.174364265, 1.035282214,"
974,"2252.194796043, 1.031341973,"
975,"2252.215227921, 1.060830834,"
976,"2252.235659599, 1.009871151,"
977,"2252.256091376, 1.051420010,"
978,"2252.296954930, 1.018799140,"
979,"2252.317386807, 1.039008142,"
980,"2252.337818583, 1.007145181,"
981,"2252.358250259, 1.043874531,"
982,"2252.378682134, 1.042477906,"
983,"2252.399113909, 1.005193490,"
984,"2252.419545584, 0.996762725,"
985,"2252.439977459, 1.029357901,"
986,"2252.460409233, 1.059749180,"
987,"2252.480840907, 1.019565167,"
988,"2252.501272780, 1.030504854,"
989,"2252.542136326, 1.035444753,"
990,"2252.562568099, 1.031980365,"
991,"2252.582999871, 1.036417715,"
992,"2252.603431643, 1.027052979,"
993,"2252.623863415, 1.050565662,"
994,"2252.644295186, 1.018751365,"
995,"2252.664726957, 1.022540838,"
996,"2252.685158728, 1.033693518,"
997,"2252.705590498, 1.032913371,"
998,"2252.726022168, 1.019060691,"
999,"2252.746454038, 1.013198122,"
1000,"2252.787317476, 1.025277907,"
1001,"2252.807749345, 1.038115638,"
1002,"2252.828181114, 1.029089005,"
1003,"2252.848612982, 1.019796373,"
1004,"2252.869044650, 1.036136631,"
1005,"2252.889476417, 1.028423040,"
1006,"2252.909908284, 1.047468403,"
1007,"2252.930339951, 1.031841833,"
1008,"2252.950771718, 1.037425765,"
1009,"2252.971203584, 1.032559643,"
1010,"2252.991635250, 1.040938031,"
1011,"2253.012067016, 1.012525763,"
1012,"2253.032498881, 1.034927428,"
1013,"2253.052930646, 1.035825982,"
1014,"2253.073362311, 1.020217494,"
1015,"2253.093794175, 1.010153883,"
1016,"2253.114225939, 1.026963241,"
1017,"2253.134657603, 1.024832828,"
1018,"2253.155089466, 1.025019584,"
1019,"2253.175521229, 1.043985268,"
1020,"2253.195952892, 1.050478020,"
1021,"2253.216384754, 1.036958102,"
1022,"2253.236816516, 1.015111788,"
1023,"2253.277680040, 1.042947051,"
1024,"2253.298111801, 1.038549959,"
1025,"2253.318543462, 1.048086059,"
1026,"2253.338975323, 1.029879220,"
1027,"2253.359407083, 1.029622947,"
1028,"2253.379838843, 1.030045648,"
1029,"2253.400270602, 1.035379715,"
1030,"2253.420702362, 1.036719231,"
1031,"2253.441134121, 1.030455065,"
1032,"2253.461565880, 1.055520687,"
1033,"2253.481997638, 1.024155739,"
1034,"2253.502429396, 1.029545187,"
1035,"2253.522861154, 1.004008895,"
1036,"2253.543292912, 1.021191901,"
1037,"2253.563724769, 1.032519854,"
1038,"2253.584156426, 1.035121546,"
1039,"2253.604588182, 1.020274504,"
1040,"2253.625020038, 1.035690663,"
1041,"2253.645451694, 1.030017712,"
1042,"2253.665883450, 1.045392721,"
1043,"2253.686315305, 0.992247045,"
1044,"2253.706746960, 1.045878496,"
1045,"2253.727178715, 1.024955209,"
1046,"2253.768042224, 1.031084200,"
1047,"2253.788473977, 1.040771555,"
1048,"2253.808905831, 1.042922773,"
1049,"2253.829337484, 1.020931604,"
1050,"2253.849769237, 1.031222635,"
1051,"2253.870201090, 1.044478472,"
1052,"2253.890632842, 1.032909294,"
1053,"2253.911064594, 1.028157654,"
1054,"2253.931496346, 1.029746691,"
1055,"2253.972359848, 1.019401721,"
1056,"2253.992791599, 1.020848945,"
1057,"2254.013223349, 1.031936419,"
1058,"2254.054086849, 1.027857746,"
1059,"2254.074518599, 1.039104293,"
1060,"2254.094950348, 1.038860249,"
1061,"2254.115382097, 1.040544597,"
1062,"2254.156245594, 1.024711585,"
1063,"2254.176677342, 1.028912456,"
1064,"2254.197108990, 1.015865675,"
1065,"2254.217540837, 1.002577941,"
1066,"2254.258404331, 1.022163634,"
1067,"2254.278836078, 1.029466674,"
1068,"2254.299267824, 1.027221540,"
1069,"2254.319699570, 1.020069669,"
1070,"2254.340131316, 1.030431442,"
1071,"2254.360563061, 1.008662995,"
1072,"2254.380994806, 1.030005777,"
1073,"2254.401426651, 1.021864599,"
1074,"2254.421858295, 1.072373411,"
1075,"2254.442290139, 1.043915476,"
1076,"2254.462721883, 1.040513434,"
1077,"2254.483153527, 1.018090926,"
1078,"2254.503585370, 1.019721093,"
1079,"2254.524017113, 1.025780246,"
1080,"2254.544448756, 1.047707781,"
1081,"2254.564880598, 1.043546845,"
1082,"2254.585312340, 1.024870652,"
1083,"2254.605743982, 1.038299724,"
1084,"2254.626175823, 1.023895045,"
1085,"2254.646607565, 1.015446411,"
1086,"2254.667039205, 1.042741074,"
1087,"2254.687471046, 1.006371226,"
1088,"2254.707902786, 1.036135305,"
1089,"2254.748766266, 1.027520501,"
1090,"2254.769198005, 1.011650421,"
1091,"2254.789629744, 1.044355539,"
1092,"2254.810061483, 1.040379489,"
1093,"2254.830493222, 1.035035174,"
1094,"2254.850924960, 1.029099152,"
1095,"2254.871356698, 1.030805127,"
1096,"2254.891788436, 1.053792540,"
1097,"2254.912220173, 1.036973584,"
1098,"2254.932651910, 1.013052535,"
1099,"2254.953083647, 1.031034327,"
1100,"2254.993947120, 1.031802374,"
1101,"2255.014378856, 1.037048192,"
1102,"2255.034810691, 1.057995860,"
1103,"2255.055242327, 1.026443125,"
1104,"2255.075674062, 1.031228256,"
1105,"2255.096105896, 1.028401258,"
1106,"2255.116537531, 1.036956389,"
1107,"2255.136969265, 1.024754502,"
1108,"2255.157401099, 1.028399807,"
1109,"2255.177832733, 1.037728379,"
1110,"2255.198264466, 1.022113509,"
1111,"2255.218696299, 1.063719988,"
1112,"2255.239128032, 0.998687233,"
1113,"2255.279991496, 1.039639605,"
1114,"2255.300423228, 1.019584465,"
1115,"2255.320854860, 1.044817822,"
1116,"2255.341286691, 1.038989706,"
1117,"2255.361718422, 1.041264278,"
1118,"2255.382150053, 1.053435562,"
1119,"2255.402581883, 1.026538537,"
1120,"2255.423013613, 1.038260147,"
1121,"2255.443445443, 1.066065385,"
1122,"2255.484308802, 1.049109489,"
1123,"2255.504740531, 1.024986849,"
1124,"2255.525172260, 1.043772712,"
1125,"2255.545603988, 1.034685815,"
1126,"2255.566035716, 1.053189330,"
1127,"2255.586467444, 1.067159110,"
1128,"2255.606899171, 1.029045286,"
1129,"2255.627330899, 1.029480104,"
1130,"2255.647762626, 1.025604587,"
1131,"2255.668194353, 1.034736945,"
1132,"2255.688626079, 1.025817410,"
1133,"2255.709057805, 1.040694689,"
1134,"2255.729489531, 1.044775278,"
1135,"2255.749921257, 1.043268029,"
1136,"2255.790784707, 1.046996584,"
1137,"2255.811216532, 1.048415376,"
1138,"2255.831648156, 1.010557668,"
1139,"2255.852079880, 1.039999193,"
1140,"2255.872511704, 1.034747021,"
1141,"2255.892943328, 1.037991928,"
1142,"2255.913375151, 1.048322554,"
1143,"2255.933806874, 1.070759031,"
1144,"2255.974670320, 1.053771638,"
1145,"2255.995102042, 1.081084610,"
1146,"2256.015533664, 1.041265364,"
1147,"2256.035965486, 1.048891372,"
1148,"2256.056397207, 1.027274156,"
1149,"2256.076828928, 1.061552770,"
1150,"2256.097260649, 1.047753410,"
1151,"2256.117692370, 1.016758402,"
1152,"2256.138124090, 1.031401830,"
1153,"2256.158555810, 1.059850160,"
1154,"2256.178987530, 1.004733940,"
1155,"2256.240282687, 1.027385006,"
1156,"2256.260714406, 1.020713609,"
1157,"2256.281146124, 1.092301029,"
1158,"2256.301577842, 1.036887258,"
1159,"2256.322009560, 1.044098693,"
1160,"2256.342441277, 1.036982109,"
1161,"2256.362872995, 1.088135210,"
1162,"2256.383304812, 1.027595847,"
1163,"2256.403736429, 1.020569179,"
1164,"2256.424168145, 1.033572465,"
1165,"2256.444599961, 1.036400204,"
1166,"2256.465031577, 1.036507811,"
1167,"2256.485463293, 1.030044388,"
1168,"2256.505895108, 1.048204353,"
1169,"2256.526326723, 1.030362285,"
1170,"2256.546758438, 1.057988082,"
1171,"2256.567190252, 1.047615883,"
1172,"2256.587621867, 1.043061592,"
1173,"2256.608053580, 1.047594644,"
1174,"2256.628485394, 1.031868295,"
1175,"2256.648917108, 1.029929345,"
1176,"2256.669348721, 1.058377294,"
1177,"2256.689780534, 1.025352127,"
1178,"2256.710212246, 1.031413685,"
1179,"2256.730643859, 1.051790401,"
1180,"2256.751075671, 1.018356364,"
1181,"2256.771507383, 1.051093517,"
1182,"2256.791938994, 1.026414192,"
1183,"2256.812370805, 1.010027089,"
1184,"2256.832802516, 1.028135835,"
1185,"2256.853234327, 1.034520988,"
1186,"2256.873665938, 1.033563376,"
1187,"2256.894097648, 1.022564958,"
1188,"2256.914529458, 0.995229296,"
1189,"2256.955392777, 1.049709839,"
1190,"2256.975824586, 1.024681974,"
1191,"2256.996256195, 1.038020251,"
1192,"2257.016687903, 1.037544530,"
1193,"2257.037119612, 1.043343798,"
1194,"2257.057551320, 1.020027478,"
1195,"2257.077983028, 1.038554717,"
1196,"2257.098414735, 1.022057207,"
1197,"2257.118846443, 1.038587418,"
1198,"2257.139278149, 1.040543544,"
1199,"2257.159709956, 1.043511245,"
1200,"2257.180141563, 1.048952564,"
1201,"2257.200573269, 1.048909347,"
1202,"2257.221005075, 1.038569207,"
1203,"2257.241436681, 1.034023134,"
1204,"2257.261868386, 1.011456982,"
1205,"2257.282300191, 1.030148531,"
1206,"2257.302731796, 1.034973950,"
1207,"2257.323163601, 1.035270508,"
1208,"2257.343595305, 1.040646654,"
1209,"2257.364026909, 1.050801710,"
1210,"2257.384458713, 1.048942011,"
1211,"2257.404890417, 1.061650460,"
1212,"2257.425322020, 1.046225113,"
1213,"2257.445753823, 1.036495877,"
1214,"2257.466185526, 1.073521319,"
1215,"2257.486617228, 1.047280738,"
1216,"2257.507048931, 1.032214142,"
1217,"2257.527480633, 1.025394198,"
1218,"2257.547912334, 1.030132868,"
1219,"2257.568344136, 1.039826009,"
1220,"2257.588775737, 1.052121516,"
1221,"2257.609207438, 1.042743458,"
1222,"2257.629639239, 1.044483335,"
1223,"2257.650070839, 1.042650845,"
1224,"2257.690934340, 1.040603527,"
1225,"2257.711365939, 1.048385657,"
1226,"2257.731797639, 1.033451820,"
1227,"2257.752229338, 1.022750788,"
1228,"2257.772661037, 1.048708799,"
1229,"2257.793092835, 1.053037048,"
1230,"2257.813524434, 1.025838208,"
1231,"2257.833956132, 1.032261935,"
1232,"2257.854387930, 1.043411689,"
1233,"2257.874819528, 1.019550221,"
1234,"2257.895251225, 1.029212512,"
1235,"2257.915683022, 1.034736223,"
1236,"2257.936114619, 1.045630492,"
1237,"2257.956546315, 1.042991099,"
1238,"2257.976978112, 1.056821014,"
1239,"2257.997409808, 1.050807818,"
1240,"2258.017841404, 1.039557924,"
1241,"2258.038273199, 1.047090223,"
1242,"2258.058704895, 1.049077130,"
1243,"2258.079136490, 1.021889996,"
1244,"2258.099568285, 1.031331268,"
1245,"2258.119999979, 1.016259255,"
1246,"2258.140431574, 1.015533292,"
1247,"2258.181295062, 1.028063907,"
1248,"2258.201726655, 1.046712176,"
1249,"2258.222158449, 1.151366187,"
1250,"2258.242590141, 1.038091546,"
1251,"2258.263021934, 1.035166158,"
1252,"2258.283453527, 1.067582130,"
1253,"2258.303885219, 1.030989703,"
1254,"2258.324317011, 1.039000838,"
1255,"2258.344748603, 1.029039647,"
1256,"2258.365180295, 1.052742736,"
1257,"2258.385612086, 1.037247066,"
1258,"2258.426475368, 1.055589158,"
1259,"2258.446907158, 1.039420319,"
1260,"2258.467338849, 1.043894931,"
1261,"2258.487770439, 1.041280943,"
1262,"2258.508202229, 1.046041201,"
1263,"2258.528633818, 1.037914268,"
1264,"2258.549065508, 1.047452797,"
1265,"2258.569497297, 1.045499151,"
1266,"2258.589928886, 1.035482405,"
1267,"2258.610360574, 1.031758269,"
1268,"2258.630792362, 1.034074894,"
1269,"2258.651223951, 1.055346341,"
1270,"2258.671655638, 1.037624348,"
1271,"2258.692087426, 1.019490827,"
1272,"2258.712519014, 1.030547594,"
1273,"2258.732950801, 1.060794194,"
1274,"2258.753382487, 1.029930656,"
1275,"2258.773814074, 1.027587685,"
1276,"2258.794245860, 1.032368180,"
1277,"2258.814677546, 1.033932732,"
1278,"2258.835109232, 1.032923453,"
1279,"2258.855540918, 1.017945186,"
1280,"2258.875972603, 1.013403987,"
1281,"2258.916835974, 1.046165131,"
1282,"2258.937267658, 1.044476052,"
1283,"2258.957699343, 1.038394000,"
1284,"2258.978131127, 1.026952013,"
1285,"2258.998562711, 1.044762938,"
1286,"2259.018994395, 1.036841586,"
1287,"2259.039426178, 1.048658630,"
1288,"2259.059857761, 1.027715868,"
1289,"2259.080289444, 1.161680223,"
1290,"2259.100721227, 1.042847548,"
1291,"2259.141584492, 1.034882611,"
1292,"2259.162016274, 1.036276836,"
1293,"2259.182447856, 1.028477618,"
1294,"2259.202879637, 1.025872559,"
1295,"2259.223311319, 1.034646993,"
1296,"2259.243742900, 1.047512627,"
1297,"2259.264174680, 1.049290549,"
1298,"2259.284606261, 1.038520347,"
1299,"2259.305037941, 1.054858895,"
1300,"2259.325469722, 1.040021000,"
1301,"2259.345901401, 1.050156844,"
1302,"2259.366332981, 1.020045506,"
1303,"2259.386764760, 1.048918566,"
1304,"2259.407196440, 1.065469885,"
1305,"2259.427628018, 1.041107967,"
1306,"2259.448059797, 1.038781335,"
1307,"2259.468491476, 1.071128162,"
1308,"2259.488923054, 1.031974018,"
1309,"2259.509354832, 1.034170741,"
1310,"2259.529786510, 1.043892974,"
1311,"2259.550218087, 1.034173286,"
1312,"2259.570649864, 1.047825336,"
1313,"2259.591081541, 1.029603990,"
1314,"2259.611513318, 1.047683921,"
1315,"2259.652376571, 1.044945532,"
1316,"2259.672808347, 1.041757211,"
1317,"2259.693239923, 1.047018934,"
1318,"2259.713671599, 1.044047986,"
1319,"2259.734103374, 1.039000715,"
1320,"2259.754534949, 1.043165879,"
1321,"2259.774966624, 1.031323225,"
1322,"2259.795398399, 1.041804399,"
1323,"2259.815830074, 1.035537139,"
1324,"2259.836261648, 1.047712747,"
1325,"2259.856693422, 1.025408811,"
1326,"2259.877125096, 1.045994407,"
1327,"2259.897556669, 1.014576307,"
1328,"2259.917988443, 1.034230866,"
1329,"2259.938420116, 1.052277726,"
1330,"2259.958851689, 1.036889579,"
1331,"2259.979283461, 1.046965380,"
1332,"2260.020146706, 1.021216627,"
1333,"2260.040578478, 1.037338242,"
1334,"2260.061010049, 1.036064333,"
1335,"2260.081441821, 1.059717085,"
1336,"2260.101873492, 1.027274930,"
1337,"2260.142736834, 1.031509612,"
1338,"2260.163168505, 1.036423049,"
1339,"2260.183600175, 1.037564008,"
1340,"2260.224463515, 1.017267393,"
1341,"2260.244895185, 1.037147564,"
1342,"2260.265326854, 1.000107048,"
1343,"2260.285758523, 1.050297993,"
1344,"2260.306190192, 1.040524771,"
1345,"2260.326621961, 1.036773606,"
1346,"2260.347053530, 1.045753559,"
1347,"2260.367485198, 1.087009362,"
1348,"2260.387916966, 1.041603733,"
1349,"2260.408348534, 1.051393561,"
1350,"2260.428780201, 1.050186356,"
1351,"2260.449211969, 1.011302214,"
1352,"2260.469643536, 1.026871092,"
1353,"2260.490075203, 1.051081980,"
1354,"2260.510506970, 1.032426854,"
1355,"2260.530938536, 1.024484493,"
1356,"2260.551370303, 1.011288006,"
1357,"2260.571801969, 1.034273164,"
1358,"2260.592233535, 1.034533909,"
1359,"2260.612665300, 1.033389832,"
1360,"2260.633096966, 1.023674131,"
1361,"2260.653528631, 1.021195663,"
1362,"2260.673960296, 1.028962774,"
1363,"2260.714823625, 1.023805507,"
1364,"2260.735255290, 1.019318611,"
1365,"2260.755686954, 1.044770870,"
1366,"2260.776118517, 1.052213417,"
1367,"2260.796550281, 1.035928836,"
1368,"2260.816981944, 1.019355397,"
1369,"2260.837413508, 1.044989813,"
1370,"2260.878276933, 1.033904744,"
1371,"2260.898708496, 1.049133735,"
1372,"2260.919140258, 1.034011964,"
1373,"2260.939571921, 1.049096502,"
1374,"2260.960003483, 1.031066746,"
1375,"2260.980435244, 1.026511316,"
1376,"2261.000866906, 1.060403967,"
1377,"2261.021298667, 1.030946138,"
1378,"2261.041730228, 1.031483154,"
1379,"2261.062161889, 1.048414243,"
1380,"2261.082593649, 1.033087075,"
1381,"2261.103025210, 1.034383858,"
1382,"2261.123456870, 1.035658207,"
1383,"2261.143888630, 1.032795906,"
1384,"2261.164320290, 1.053999315,"
1385,"2261.184751849, 1.047397172,"
1386,"2261.205183609, 1.022723026,"
1387,"2261.225615268, 1.033302577,"
1388,"2261.246046827, 1.043227861,"
1389,"2261.266478585, 1.011247736,"
1390,"2261.286910244, 1.033103221,"
1391,"2261.307341802, 1.027682890,"
1392,"2261.327773560, 1.017477035,"
1393,"2261.348205218, 1.061501678,"
1394,"2261.368636775, 1.026734919,"
1395,"2261.389068533, 1.056343033,"
1396,"2261.409500090, 1.054659605,"
1397,"2261.429931847, 1.045666342,"
1398,"2261.450363504, 1.015664364,"
1399,"2261.470795060, 1.035631252,"
1400,"2261.491226817, 1.052616609,"
1401,"2261.511658473, 1.055620609,"
1402,"2261.532090129, 1.030052165,"
1403,"2261.552521784, 1.027661288,"
1404,"2261.572953440, 1.028005676,"
1405,"2261.593385095, 1.005294840,"
1406,"2261.613816750, 1.039511501,"
1407,"2261.634248405, 1.051535143,"
1408,"2261.654680060, 1.035725611,"
1409,"2261.675111814, 1.029413781,"
1410,"2261.695543368, 1.059428388,"
1411,"2261.715975023, 1.047404799,"
1412,"2261.736406776, 1.030569243,"
1413,"2261.756838330, 1.019887982,"
1414,"2261.777269983, 1.058262453,"
1415,"2261.797701737, 1.048175094,"
1416,"2261.818133290, 1.031404151,"
1417,"2261.858996695, 1.021176098,"
1418,"2261.879428247, 1.041294248,"
1419,"2261.899860000, 1.051846806,"
1420,"2261.920291651, 1.032341815,"
1421,"2261.940723203, 1.053227562,"
1422,"2261.961154955, 1.050845449,"
1423,"2261.981586606, 1.029421682,"
1424,"2262.002018257, 1.044350736,"
1425,"2262.022449908, 1.052284628,"
1426,"2262.042881559, 1.043224071,"
1427,"2262.063313210, 1.036122360,"
1428,"2262.104176510, 1.031672652,"
1429,"2262.124608160, 1.051336228,"
1430,"2262.145039810, 1.047238611,"
1431,"2262.165471459, 1.046255030,"
1432,"2262.185903009, 1.047480233,"
1433,"2262.206334758, 1.043025197,"
1434,"2262.226766407, 1.047886378,"
1435,"2262.247198155, 1.049570523,"
1436,"2262.267629704, 1.049110858,"
1437,"2262.288061352, 1.033158688,"
1438,"2262.308493100, 1.030816867,"
1439,"2262.328924648, 1.033860337,"
1440,"2262.349356296, 1.036075496,"
1441,"2262.369788044, 1.036266280,"
1442,"2262.390219591, 1.053051062,"
1443,"2262.410651238, 1.042586875,"
1444,"2262.431082985, 1.036403636,"
