,"BJD - 2454833, Corrected Flux"
167,"2234.684616043, 1.012898551,"
168,"2234.705048184, 1.007620897,"
169,"2234.725480325, 1.015681800,"
170,"2234.745912465, 0.989157862,"
171,"2234.766344606, 1.003805909,"
172,"2234.786776745, 1.030381925,"
173,"2234.807208883, 1.002858622,"
174,"2234.827641022, 1.004171641,"
175,"2234.848073160, 1.024640412,"
176,"2234.868505197, 1.001311227,"
177,"2234.888937433, 0.997952047,"
178,"2234.909369570, 0.993157587,"
179,"2234.929801605, 1.020959410,"
180,"2234.950233841, 1.018705883,"
181,"2234.970665975, 1.001824796,"
182,"2234.991098109, 1.016759521,"
183,"2235.011530243, 0.996602455,"
184,"2235.031962376, 1.025871708,"
185,"2235.052394509, 1.005850905,"
186,"2235.072826641, 1.008367006,"
187,"2235.093258773, 1.015922188,"
188,"2235.134123134, 1.012687944,"
189,"2235.154555165, 1.006011979,"
190,"2235.174987294, 1.017201235,"
191,"2235.195419523, 1.036004381,"
192,"2235.215851551, 1.015258939,"
193,"2235.236283680, 1.012406835,"
194,"2235.256715907, 1.000706337,"
195,"2235.277147934, 0.998306434,"
196,"2235.297580160, 1.009011807,"
197,"2235.318012287, 0.998420862,"
198,"2235.338444312, 0.965049768,"
199,"2235.358876537, 1.011546840,"
200,"2235.379308661, 1.018771505,"
201,"2235.399740785, 1.013093356,"
202,"2235.420172909, 1.022945143,"
203,"2235.440605032, 1.017331602,"
204,"2235.461037154, 1.013992362,"
205,"2235.481469276, 1.024472468,"
206,"2235.501901397, 0.994183443,"
207,"2235.522333518, 1.003191204,"
208,"2235.542765639, 1.019191520,"
209,"2235.563197758, 0.992154841,"
210,"2235.583629878, 1.039823119,"
211,"2235.604061997, 0.998791796,"
212,"2235.624494115, 1.002892602,"
213,"2235.644926133, 1.015028613,"
214,"2235.665358350, 1.024020734,"
215,"2235.685790467, 1.001176918,"
216,"2235.706222483, 1.005787681,"
217,"2235.726654699, 1.018235499,"
218,"2235.747086814, 1.007121028,"
219,"2235.767518829, 1.024681078,"
220,"2235.787951043, 1.011699845,"
221,"2235.808383157, 1.003316596,"
222,"2235.828815270, 1.002305390,"
223,"2235.869679496, 1.008543461,"
224,"2235.890111607, 1.032662512,"
225,"2235.910543719, 1.039227791,"
226,"2235.930975829, 1.024391498,"
227,"2235.951407939, 1.003702649,"
228,"2235.971840149, 1.006852458,"
229,"2235.992272159, 1.012239099,"
230,"2236.012704267, 0.995820848,"
231,"2236.033136476, 1.036512560,"
232,"2236.053568483, 1.014039283,"
233,"2236.074000690, 1.011499725,"
234,"2236.094432797, 1.031208026,"
235,"2236.114864803, 1.013430843,"
236,"2236.135297009, 1.026877564,"
237,"2236.155729114, 1.010058167,"
238,"2236.176161119, 1.015308505,"
239,"2236.217025427, 1.065202184,"
240,"2236.237457530, 1.015681753,"
241,"2236.257889633, 1.011840028,"
242,"2236.278321635, 1.021052152,"
243,"2236.298753837, 1.035206694,"
244,"2236.319185938, 1.005437703,"
245,"2236.339618039, 1.014013423,"
246,"2236.360050039, 1.007267335,"
247,"2236.380482238, 1.010278847,"
248,"2236.400914338, 1.040916882,"
249,"2236.421346336, 1.001283301,"
250,"2236.441778535, 1.023153744,"
251,"2236.462210632, 1.040056474,"
252,"2236.482642630, 1.002686454,"
253,"2236.503074826, 0.998490118,"
254,"2236.523506922, 1.015099142,"
255,"2236.543938918, 0.997328679,"
256,"2236.564371113, 1.023051641,"
257,"2236.605235202, 1.015840370,"
258,"2236.625667396, 1.015702099,"
259,"2236.646099489, 1.014115140,"
260,"2236.666531582, 1.026207117,"
261,"2236.686963674, 1.012980289,"
262,"2236.707395766, 1.003123703,"
263,"2236.727827857, 1.034704459,"
264,"2236.748259948, 1.021728174,"
265,"2236.768692038, 1.007499541,"
266,"2236.789124128, 0.991075999,"
267,"2236.809556317, 1.020664564,"
268,"2236.850420394, 1.012789617,"
269,"2236.870852582, 0.999476548,"
270,"2236.891284569, 1.014855999,"
271,"2236.911716756, 1.010109003,"
272,"2236.932148842, 1.020135138,"
273,"2236.952580828, 1.025330076,"
274,"2236.973013013, 0.989424914,"
275,"2236.993444998, 1.002783620,"
276,"2237.013877082, 0.991789187,"
277,"2237.034309266, 1.014903452,"
278,"2237.054741249, 1.033261814,"
279,"2237.075173332, 0.999791006,"
280,"2237.095605514, 1.005001281,"
281,"2237.116037496, 1.023664222,"
282,"2237.136469577, 0.997278060,"
283,"2237.156901758, 1.018533651,"
284,"2237.177333839, 0.986344714,"
285,"2237.197765818, 1.017653577,"
286,"2237.218197998, 1.040353557,"
287,"2237.238630077, 1.007486203,"
288,"2237.259062055, 1.047104397,"
289,"2237.279494233, 1.005740778,"
290,"2237.299926310, 1.004990264,"
291,"2237.320358287, 1.007213337,"
292,"2237.340790464, 1.010889620,"
293,"2237.361222539, 1.040843143,"
294,"2237.381654515, 0.998451774,"
295,"2237.402086690, 1.002036068,"
296,"2237.422518764, 1.007381524,"
297,"2237.463382912, 1.029723921,"
298,"2237.483814985, 1.014306274,"
299,"2237.504247057, 0.997109552,"
300,"2237.524679129, 1.001017432,"
301,"2237.545111201, 1.008523338,"
302,"2237.565543272, 1.019437148,"
303,"2237.585975343, 0.998078567,"
304,"2237.606407412, 1.015214260,"
305,"2237.626839482, 1.006185091,"
306,"2237.647271651, 1.020740901,"
307,"2237.667703620, 1.005732089,"
308,"2237.688135688, 1.019806112,"
309,"2237.708567856, 1.034330369,"
310,"2237.728999823, 1.022401101,"
311,"2237.749431989, 1.007672230,"
312,"2237.769863956, 1.031930460,"
313,"2237.790296021, 1.015940822,"
314,"2237.810728187, 1.012701472,"
315,"2237.831160151, 1.019953852,"
316,"2237.851592216, 1.024577790,"
317,"2237.872024379, 1.010184712,"
318,"2237.892456342, 1.006496900,"
319,"2237.912888405, 1.019608987,"
320,"2237.933320567, 1.009460432,"
321,"2237.953752529, 1.026367565,"
322,"2237.974184590, 1.015899989,"
323,"2237.994616751, 1.013913397,"
324,"2238.015048812, 1.027889434,"
325,"2238.035480771, 1.018727834,"
326,"2238.055912931, 1.009794216,"
327,"2238.076344990, 1.019223834,"
328,"2238.096776948, 1.018114559,"
329,"2238.117209106, 1.027004824,"
330,"2238.137641164, 1.018523899,"
331,"2238.158073121, 1.018537688,"
332,"2238.178505277, 1.027616606,"
333,"2238.198937333, 1.018323556,"
334,"2238.219369289, 1.017400245,"
335,"2238.239801444, 1.006227190,"
336,"2238.260233498, 1.028958660,"
337,"2238.280665453, 1.030391352,"
338,"2238.321529659, 1.016895161,"
339,"2238.341961712, 0.999306453,"
340,"2238.362393764, 1.021140431,"
341,"2238.382825816, 1.009240947,"
342,"2238.403257867, 1.029031683,"
343,"2238.423689918, 1.009176395,"
344,"2238.444121968, 1.026752593,"
345,"2238.464554018, 1.027493328,"
346,"2238.484986067, 1.021166784,"
347,"2238.505418115, 1.034664416,"
348,"2238.525850264, 1.041806306,"
349,"2238.566714259, 1.010691051,"
350,"2238.587146406, 1.018763685,"
351,"2238.607578352, 1.016400018,"
352,"2238.628010398, 1.020260403,"
353,"2238.668874489, 1.009859688,"
354,"2238.689306533, 0.988209531,"
355,"2238.709738677, 1.017493546,"
356,"2238.730170621, 1.009459993,"
357,"2238.750602664, 1.010998441,"
358,"2238.771034807, 1.013065137,"
359,"2238.791466749, 1.001990648,"
360,"2238.811898790, 0.999986862,"
361,"2238.832330931, 1.040835764,"
362,"2238.852762972, 1.000497892,"
363,"2238.873194912, 1.008714677,"
364,"2238.893627052, 1.007886022,"
365,"2238.914059092, 1.007824921,"
366,"2238.934491030, 1.019982398,"
367,"2238.954923168, 1.011622842,"
368,"2238.975355207, 1.005473470,"
369,"2238.995787144, 1.013437987,"
370,"2239.016219281, 1.012315283,"
371,"2239.036651317, 1.021428902,"
372,"2239.057083253, 0.991157726,"
373,"2239.077515389, 1.022919782,"
374,"2239.097947423, 0.988945785,"
375,"2239.118379358, 1.016201994,"
376,"2239.138811492, 1.012060716,"
377,"2239.159243526, 1.014636547,"
378,"2239.179675559, 1.002171155,"
379,"2239.200107591, 1.027082475,"
380,"2239.220539624, 1.011921658,"
381,"2239.240971656, 1.021614900,"
382,"2239.261403687, 1.022015545,"
383,"2239.281835718, 0.996857372,"
384,"2239.302267748, 0.965568304,"
385,"2239.322699778, 1.006076785,"
386,"2239.343131807, 1.029169885,"
387,"2239.363563936, 1.000068187,"
388,"2239.383995864, 1.013594903,"
389,"2239.404427892, 0.998739500,"
390,"2239.424860020, 1.009363975,"
391,"2239.445291947, 1.034470013,"
392,"2239.465723973, 1.013057134,"
393,"2239.486156099, 1.000408433,"
394,"2239.506588025, 1.013488529,"
395,"2239.527020050, 0.994957070,"
396,"2239.547452175, 1.004812531,"
397,"2239.567884099, 1.028526107,"
398,"2239.588316123, 0.994904586,"
399,"2239.608748246, 1.024520674,"
400,"2239.629180169, 1.016278954,"
401,"2239.649612191, 1.014144912,"
402,"2239.670044313, 1.016185207,"
403,"2239.690476335, 0.985381431,"
404,"2239.710908256, 1.029624075,"
405,"2239.731340376, 1.004898327,"
406,"2239.751772396, 1.009747072,"
407,"2239.772204316, 0.990547465,"
408,"2239.792636435, 1.009155924,"
409,"2239.813068453, 0.987156711,"
410,"2239.833500372, 0.994689678,"
411,"2239.853932489, 0.987859299,"
412,"2239.874364506, 1.017378303,"
413,"2239.894796423, 1.001910526,"
414,"2239.915228539, 1.005723930,"
415,"2239.935660555, 1.017306696,"
416,"2239.956092471, 1.022442864,"
417,"2239.976524586, 1.001981250,"
418,"2240.017388614, 0.992554222,"
419,"2240.037820627, 0.999861184,"
420,"2240.058252640, 1.022556205,"
421,"2240.078684653, 1.036156999,"
422,"2240.099116665, 0.995172748,"
423,"2240.119548677, 1.000026001,"
424,"2240.139980688, 1.003806009,"
425,"2240.160412699, 1.005549212,"
426,"2240.180844709, 1.023230416,"
427,"2240.201276819, 1.005150301,"
428,"2240.221708728, 1.006359891,"
429,"2240.242140737, 0.994870574,"
430,"2240.262572846, 1.001185610,"
431,"2240.283004753, 1.000972883,"
432,"2240.303436761, 1.002198889,"
433,"2240.323868868, 1.014234564,"
434,"2240.344300775, 1.014069912,"
435,"2240.364732781, 0.975465124,"
436,"2240.405596792, 1.017126249,"
437,"2240.426028797, 1.015144451,"
438,"2240.446460901, 1.022572435,"
439,"2240.466892805, 1.001925069,"
440,"2240.487324808, 0.995416601,"
441,"2240.548620816, 0.999544213,"
442,"2240.569052917, 0.999894432,"
443,"2240.589484918, 1.022776026,"
444,"2240.609916819, 1.034859073,"
445,"2240.630348919, 1.003841066,"
446,"2240.650780919, 0.997661290,"
447,"2240.671212818, 1.015482113,"
448,"2240.691644917, 1.040361974,"
449,"2240.712076915, 0.999128773,"
450,"2240.732508913, 1.005423016,"
451,"2240.752940910, 1.008976223,"
452,"2240.773372908, 0.997642398,"
453,"2240.793804904, 1.004081315,"
454,"2240.814236900, 0.994386323,"
455,"2240.834668896, 1.003928795,"
456,"2240.855100891, 1.005045351,"
457,"2240.875532886, 1.021687508,"
458,"2240.895964880, 1.000677090,"
459,"2240.916396874, 1.009599568,"
460,"2240.936828868, 0.990954059,"
461,"2240.957260860, 1.007724098,"
462,"2240.977692853, 0.998049832,"
463,"2240.998124845, 1.001078766,"
464,"2241.018556836, 1.005898733,"
465,"2241.100284898, 1.016633120,"
466,"2241.120716787, 0.980709993,"
467,"2241.141148776, 0.985934029,"
468,"2241.161580864, 1.000065406,"
469,"2241.182012752, 0.983906191,"
470,"2241.202444740, 0.993335977,"
471,"2241.222876827, 1.024298731,"
472,"2241.243308714, 1.002555323,"
473,"2241.263740700, 1.011065938,"
474,"2241.284172786, 1.021859301,"
475,"2241.304604671, 1.027020531,"
476,"2241.325036655, 0.995334640,"
477,"2241.345468740, 1.018443447,"
478,"2241.365900724, 1.008578913,"
479,"2241.386332607, 1.020564802,"
480,"2241.406764690, 1.006834640,"
481,"2241.427196673, 1.003360310,"
482,"2241.447628655, 1.011420488,"
483,"2241.468060637, 0.988150411,"
484,"2241.488492518, 1.005473330,"
485,"2241.508924599, 1.033527053,"
486,"2241.529356579, 1.000752968,"
487,"2241.549788559, 1.023214215,"
488,"2241.570220538, 1.014256857,"
489,"2241.590652517, 0.996479501,"
490,"2241.611084396, 1.009259095,"
491,"2241.631516474, 1.012704402,"
492,"2241.651948452, 0.994148074,"
493,"2241.672380329, 0.995202174,"
494,"2241.692812405, 1.014165980,"
495,"2241.713244382, 1.005705239,"
496,"2241.733676358, 1.014235958,"
497,"2241.754108333, 1.016844255,"
498,"2241.774540308, 0.999638394,"
499,"2241.794972283, 0.983980808,"
500,"2241.815404257, 0.983215370,"
501,"2241.835836230, 1.015364794,"
502,"2241.856268204, 1.025898973,"
503,"2241.876700276, 1.017835997,"
504,"2241.897132149, 0.992186168,"
505,"2241.917564121, 1.013651528,"
506,"2241.937996192, 1.002321208,"
507,"2241.958428063, 1.006099042,"
508,"2241.978860034, 1.097685614,"
509,"2241.999292104, 1.037056141,"
510,"2242.019723974, 1.000720650,"
511,"2242.040155943, 1.019634097,"
512,"2242.060588012, 0.989871400,"
513,"2242.081019880, 1.002888373,"
514,"2242.101451848, 1.009497304,"
515,"2242.121883915, 1.013922508,"
516,"2242.142315782, 1.013927555,"
517,"2242.162747849, 1.003020263,"
518,"2242.183179815, 0.993892729,"
519,"2242.203611781, 1.028938718,"
520,"2242.224043746, 1.000691033,"
521,"2242.244475711, 0.989799526,"
522,"2242.264907675, 1.004507239,"
523,"2242.285339639, 1.017236942,"
524,"2242.305771603, 1.052342130,"
525,"2242.326203466, 0.993608480,"
526,"2242.346635529, 1.006773342,"
527,"2242.367067491, 1.034773876,"
528,"2242.387499352, 1.005700675,"
529,"2242.407931414, 1.022940829,"
530,"2242.428363374, 0.999413382,"
531,"2242.448795235, 1.025600788,"
532,"2242.489659255, 1.011369702,"
533,"2242.510091114, 1.009493733,"
534,"2242.530523173, 1.021992717,"
535,"2242.550955131, 1.004105562,"
536,"2242.571387089, 1.007072261,"
537,"2242.591819046, 1.020321556,"
538,"2242.612251003, 1.014575369,"
539,"2242.632682959, 1.008798651,"
540,"2242.653114916, 1.014559928,"
541,"2242.673546871, 1.023190770,"
542,"2242.693978827, 1.004098184,"
543,"2242.714410881, 1.015164792,"
544,"2242.734842736, 1.034249804,"
545,"2242.755274690, 1.020166741,"
546,"2242.775706743, 1.022252483,"
547,"2242.796138596, 1.005698055,"
548,"2242.816570549, 1.029357236,"
549,"2242.837002601, 1.012151731,"
550,"2242.857434453, 1.014936173,"
551,"2242.877866504, 1.021352204,"
552,"2242.898298455, 1.010354317,"
553,"2242.918730305, 1.034708365,"
554,"2242.939162356, 1.049768158,"
555,"2242.959594305, 0.993955672,"
556,"2242.980026155, 1.008867182,"
557,"2243.000458203, 1.006596538,"
558,"2243.020890052, 0.999861367,"
559,"2243.041322099, 1.009298568,"
560,"2243.061754047, 1.023570941,"
561,"2243.082185894, 1.010838731,"
562,"2243.102617841, 1.012954224,"
563,"2243.123049887, 1.021580932,"
564,"2243.143481833, 1.011033816,"
565,"2243.163913678, 1.030976082,"
566,"2243.184345723, 1.020035335,"
567,"2243.204777667, 1.037395545,"
568,"2243.225209511, 1.009795700,"
569,"2243.245641554, 1.022475726,"
570,"2243.266073498, 1.017703821,"
571,"2243.286505340, 1.012024036,"
572,"2243.306937383, 1.021373990,"
573,"2243.327369325, 1.042131593,"
574,"2243.347801166, 1.024531978,"
575,"2243.368233207, 1.015513484,"
576,"2243.409097088, 1.013780008,"
577,"2243.429529028, 1.032934198,"
578,"2243.470392906, 1.012611558,"
579,"2243.490824845, 1.025013813,"
580,"2243.511256783, 1.011536183,"
581,"2243.531688720, 1.024702281,"
582,"2243.552120757, 1.020868067,"
583,"2243.572552594, 0.979773087,"
584,"2243.592984630, 0.993622087,"
585,"2243.613416566, 1.029477593,"
586,"2243.633848402, 1.008816208,"
587,"2243.654280437, 1.017947882,"
588,"2243.674712372, 1.052658387,"
589,"2243.715576240, 1.036613288,"
590,"2243.736008073, 1.014562861,"
591,"2243.756440006, 1.087875118,"
592,"2243.776872039, 1.004733781,"
593,"2243.797303871, 1.022719671,"
594,"2243.817735802, 1.006293712,"
595,"2243.838167834, 1.020612630,"
596,"2243.858599664, 1.016211334,"
597,"2243.879031595, 1.012186756,"
598,"2243.899463625, 0.996697713,"
599,"2243.919895454, 1.047957012,"
600,"2243.940327384, 1.020562744,"
601,"2243.960759412, 1.008256396,"
602,"2243.981191341, 1.011710367,"
603,"2244.001623169, 1.009427216,"
604,"2244.022055196, 1.044741053,"
605,"2244.062918950, 1.012888655,"
606,"2244.083350976, 1.048240870,"
607,"2244.103782902, 1.020042456,"
608,"2244.124214727, 1.008770123,"
609,"2244.144646752, 1.016127159,"
610,"2244.165078677, 1.028499329,"
611,"2244.205942525, 1.049597811,"
612,"2244.226374448, 1.029782421,"
613,"2244.246806471, 1.016979766,"
614,"2244.267238294, 1.018360935,"
615,"2244.287670216, 0.999383910,"
616,"2244.308102237, 1.042802521,"
617,"2244.328534058, 1.005816269,"
618,"2244.348965979, 1.047177312,"
619,"2244.369398000, 1.020388598,"
620,"2244.389829920, 1.022045706,"
621,"2244.410261739, 1.037291485,"
622,"2244.451125677, 1.037853845,"
623,"2244.471557495, 1.037769764,"
624,"2244.491989513, 1.032791123,"
625,"2244.512421331, 1.041349681,"
626,"2244.532853248, 1.036921256,"
627,"2244.553285265, 1.031305752,"
628,"2244.573717081, 1.004103724,"
629,"2244.594148997, 1.027241090,"
630,"2244.614581012, 1.021297907,"
631,"2244.635012828, 1.048289830,"
632,"2244.655444742, 1.019920128,"
633,"2244.696308570, 1.037062619,"
634,"2244.716740483, 0.985586022,"
635,"2244.757604309, 1.018395340,"
636,"2244.778036221, 1.026828371,"
637,"2244.798468233, 1.052104071,"
638,"2244.818900144, 1.016925456,"
639,"2244.839331955, 1.000597623,"
640,"2244.859763965, 1.030110305,"
641,"2244.880195875, 1.034303637,"
642,"2244.900627685, 1.009784876,"
643,"2244.941491603, 1.014952114,"
644,"2244.961923612, 1.005252288,"
645,"2244.982355420, 1.015009913,"
646,"2245.002787327, 1.031516720,"
647,"2245.023219335, 1.028232019,"
648,"2245.043651141, 1.015881070,"
649,"2245.064083048, 0.997505183,"
650,"2245.104946859, 1.052445621,"
651,"2245.125378764, 1.034977951,"
652,"2245.145810769, 1.018377463,"
653,"2245.186674478, 1.018547798,"
654,"2245.207106481, 1.022341394,"
655,"2245.227538284, 1.017000076,"
656,"2245.247970187, 1.037887034,"
657,"2245.268402189, 1.019535924,"
658,"2245.288833991, 1.031459551,"
659,"2245.309265893, 1.029481941,"
660,"2245.329697894, 1.023060240,"
661,"2245.350129695, 1.012198044,"
662,"2245.370561595, 1.045856729,"
663,"2245.390993595, 1.018806229,"
664,"2245.431857294, 1.025847431,"
665,"2245.452289292, 1.015211026,"
666,"2245.472721091, 1.136782518,"
667,"2245.493152988, 1.023495989,"
668,"2245.513584986, 1.025891418,"
669,"2245.534016783, 1.032391687,"
670,"2245.554448680, 1.001015143,"
671,"2245.574880676, 1.028789131,"
672,"2245.595312472, 1.008127330,"
673,"2245.615744367, 1.022689034,"
674,"2245.636176363, 1.015246884,"
675,"2245.656608257, 1.000565484,"
676,"2245.677040151, 1.043919499,"
677,"2245.697472045, 1.035580158,"
678,"2245.717903939, 1.004407205,"
